source_id,title,author,publication,year,source_type,tier,role,url,used_in,notes,url_status
S25,Fall of Constantinople (1453): The Siege That Changed the World,Jean du Plessis,TheCollector,2024,Popular,Tier 3,Used,https://www.thecollector.com/fall-constantinople-1453-changed-world/,source_claims,Gun dimensions (7.3 m barrel; 550 kg shot) and 69 cannons; no primary trace given. Kept in the ledger and flagged.,Recorded from search results; re-check before citing
S26,"The Fall of Constantinople to the Ottoman Turks on May 29, 1453",Saint Andrew Greek Orthodox Church (pastoral blog),saintandrewgoc.org,2016,Popular (community blog),Tier 3,Used,https://saintandrewgoc.org/blog/2016/5/23/the-fall-of-constantinople-to-the-ottoman-turks-on-may-29-1453,campaign_timeline,Devotional-historical summary. Used only for the sequence of the last days (Venetian ships return with news of no relief; 28 May service in Hagia Sophia; attack begins early on 29 May). It gives no force figures.,Re-checked (2026-09-21)
S27,29 May 1453: The Fall of Constantinople,Protothema (English edition),protothema.gr,2024,News,Tier 3,Used,https://origin01-en.protothema.gr/2024/05/29/29-may-1453-the-fall-of-constantinople,campaign_timeline;source_claims,Narrative summary; notes Ottoman losses are not known and Constantine XI's exact fate is unknown.,Recorded from search results; re-check before citing
S28,The Fall of Constantinople 1453,Steven Runciman,Cambridge University Press (1965; 1990 edition),1965,Scholarly (monograph),Tier 1,Further reading,N/A,,Classic narrative account. Listed for further reading; not used for any numeric field here.,N/A (print or no link)
S29,The Siege and the Fall of Constantinople in 1453: Historiography Topography and Military Studies,Marios Philippides and Walter K. Hanak,Ashgate,2011,Scholarly (monograph),Tier 1,Further reading,N/A,,Comprehensive critical survey of sources. Recommended next step for anyone extending the dataset.,N/A (print or no link)
S30,The Last Centuries of Byzantium 1261-1453,Donald M. Nicol,Cambridge University Press,1993,Scholarly (monograph),Tier 1,Further reading,N/A,,Political synthesis including the Union of the Churches.,N/A (print or no link)
S31,1453: The Holy War for Constantinople and the Clash of Islam and the West,Roger Crowley,Hyperion,2005,Popular history,Tier 3,Further reading,N/A,,Readable narrative; not used for numeric fields.,N/A (print or no link)
S32,History of Mehmed the Conqueror (Kritovoulos; translated by Charles T. Riggs),Kritovoulos,Princeton University Press,1954,Primary source (translation),Tier 1,Further reading,N/A,,Pro-Ottoman Greek chronicler cited by S04 and S05. Not consulted directly.,N/A (print or no link)
S33,Diary of the Siege of Constantinople 1453,Nicolo Barbaro (translated by J. R. Jones),Exposition Press,1969,Primary source (translation),Tier 1,Further reading,N/A,,Venetian eyewitness diary. Not consulted directly.,N/A (print or no link)
S34,Mehmed the Conqueror and His Time,Franz Babinger,Princeton University Press,1978,Scholarly (biography),Tier 1,Further reading,N/A,,Standard biography of Mehmed II.,N/A (print or no link)
S35,"Constantinopolis / Istanbul: Cultural Encounter, Imperial Vision, and the Construction of the Ottoman Capital",Cigdem Kafescioglu,Pennsylvania State University Press,2009,Scholarly (monograph),Tier 1,Further reading,N/A,,Urban and architectural history of the Ottoman capital.,N/A (print or no link)
S36,Constantinople and the Scenery of the Seven Churches of Asia Minor (text by R. Walsh; plates by T. Allom),Robert Walsh,Fisher (London/Paris) - text reproduced at world4.eu,1838,Historical travelogue,Tier 3,Used,https://world4.eu/triple-wall/,locations,Source of the tradition that Mehmed II directed the siege from the Mal Tepe mound outside the Topkapi gate. Tradition only - coordinates are approximate.,Recorded from search results; re-check before citing
S37,Fall of Constantinople,EBSCO Research Starters,EBSCO,N/A,Secondary (database summary),Tier 3,Used,https://www.ebsco.com/research-starters/history/fall-constantinople,historical_events,Notes control of Constantinople passing back to the Greeks after 1261.,Recorded from search results; re-check before citing
S38,Gate of Charisius (Edirnekapi) - geographic entry,Epigraphic Database Heidelberg (geographic database),Heidelberg Academy of Sciences,N/A,Scholarly database,Tier 2,Used,https://edh-www.adw.uni-heidelberg.de/edh/geographie/25674,fortifications;locations,States Constantine XI established his command at this gate in 1453 and that Mehmed II made his triumphal entry here.,Recorded from search results; re-check before citing
S39,Rumelihisari Castle,Castles.nl,castles.nl,N/A,Popular (reference site),Tier 3,Used,https://castles.nl/rumelihisari-castle,source_claims;fortifications,Says the castle was built in about 4.5 months and describes the siege as 53 days; garrison of 400 Janissaries (single source).,Re-checked (2026-09-21)
S40,"On this day May 29, 1453: The Fall of Constantinople",Basilica.ro (Romanian Patriarchate news),basilica.ro,N/A,News,Tier 3,Used,https://basilica.ro/en/?p=281126,campaign_timeline;source_claims,States that the great gun needed about three hours to reload and that news arrived that no aid would come from Venice. Popular tier.,Re-checked (2026-09-21)
S41,"Rumeli Hisari (Istanbul, Turkiye)",Archnet (Aga Khan Documentation Center at MIT),archnet.org,N/A,Heritage database,Tier 2,Used,https://archnet.org/sites/1974,fortifications;campaign_timeline,Built in four months beginning in spring 1452; narrowest point of the strait 660 m; battalion of 400 soldiers; cites Ayverdi (1973) and the Turkish Historical Foundation encyclopedia.,Re-checked (2026-09-21)
S42,"Review of Philippides and Hanak, The Siege and the Fall of Constantinople in 1453",Bryn Mawr Classical Review,BMCR 2012.03.27,2012,Scholarly review,Tier 1,Used,https://bmcr.brynmawr.edu/?p=38384,source_claims,States that the long Chronicon Maius once attributed to Sphrantzes is a sixteenth-century fabrication by Makarios Melissourgos - important for judging which Sphrantzes figures to trust.,Re-checked (2026-09-21)
S43,"""The City Has Fallen"", But It Also Lives (3 of 3)",John Sanidopoulos (Orthodox history blog),johnsanidopoulos.com,2015,Popular (blog),Tier 3,Used,https://www.johnsanidopoulos.com/2015/06/the-city-has-fallen-but-it-also-lives-3.html,source_claims,"Quotes the widely circulated wording: 4983 Greeks and just under 2000 foreigners, and about 80000 Ottoman men plus irregulars. Kept only to document the variant.",Re-checked (2026-09-21)
S44,2023 Population Statistics in Turkey (Address-Based Population Registration System results),Turkish Statistical Institute (TUIK),"data.tuik.gov.tr bulletin, summarized via search aggregator",2024,Institutional statistics,Tier 1,Used,https://portal.yandex.com.tr/yaozet/science/2023-population-statistics-in-turkey-id2-A26pEGHY,population_context,"Turkiye total population reached 85.4 million as of December 2023; Istanbul had 15.7 million inhabitants, the most populous province.",Re-checked (2026-09-21)
S45,TUIK announced: Turkey’s population has passed 86 million (2025 ADNKS results),BirGun (reporting TUIK data),birgun.net,2026,News (reporting institutional statistics),Tier 2,Used,https://www.birgun.net/haber/tuik-announced-turkeys-population-has-passed-86-million-691706,population_context,"As of 31 December 2025 Istanbul remained the most populous province at 15,754,053, per TUIK's Address-Based Population Registration System results released 10 Feb 2026.",Re-checked (2026-09-21)
