claim_id,topic,claim_value,unit,attributed_to,source_ids,tier,note
CL11,Byzantine/allied defenders (body text figure),7000,men,"EBSCO Research Starters (body text: 'about 7,000')",S13,Tier 3,"Body text gives about 7,000; see CL12 for the same page's conflicting infobox figure."
CL12,"Byzantine/allied defenders (infobox figure, same article as CL11)",8000,men,EBSCO Research Starters (infobox),S13,Tier 3,"Infobox figure for the same campaign as CL11, again internally inconsistent within the same article."
CL13,Total land-wall circuit length,19,km,World History Encyclopedia,S12,Tier 3,"Stated as the combined length of the city's walls that the defenders could not adequately cover; presented as a round figure, not a survey measurement."
CL14,Theodosian (main triple) land-wall length,5700,m,The Byzantine Legacy (thebyzantinelegacy.com),S10,Tier 3,5.7 km figure for the main Theodosian triple-wall line specifically (narrower scope than CL13's full-circuit figure).
CL15,"Theodosian land-wall length (broader scope, includes Blachernae extension)",6670,m,Frommer's travel guide,S23,Tier 3,"Likely includes the northern single-wall Blachernae extension in addition to the main triple line, which would explain the gap with CL14."
CL16,Theodosian land-wall length (independent popular figure),5700,m,Nomadic Niko (travel blog),S24,Tier 3,"Matches CL14's 5.7 km figure via an independent popular source, offering weak corroboration."
CL17,Ottoman ships transferred overland into the Golden Horn,70,vessels,World History Encyclopedia and Oxford Dictionary of Byzantium (approximate figure in both),S12;S02,Tier 1/3 (corroborated across a scholarly reference and a popular synthesis),"The two sources independently converge on approximately 70 ships, which raises confidence in this specific figure relative to the Sphrantzes total fleet figure (CL18)."
CL18,"Ottoman total fleet size (sea side, contemporary chronicle figure)",400,vessels,George Sphrantzes,S03,"Tier 1 (primary, rhetorical figure)","Sphrantzes's total for 'small and large vessels' on the sea side; treated with the same caution as his 200,000-man land figure (CL01)."
CL19,Byzantine/allied naval strength,26,ships,World History Encyclopedia,S12,Tier 3,Most reportedly belonging to Italian colonists of the city rather than to Byzantine forces proper.
CL20,Siege duration,53,days,Multiple sources converge on 6 April to 29 May 1453 inclusive,S02;S39,Tier 1/3,Most common figure when counting from the conventional 6 April opening-bombardment date to the 29 May fall.
CL21,Siege duration (alternate count),55,days,Encyclopaedia Britannica summary framing,S01,Tier 2,"Longer count likely reflects a different start date (e.g. the 2 April arrival of the main army, per C12) rather than a factual disagreement about when the city fell."
CL22,Largest Ottoman cannon - barrel length,7.3-9,m,TheCollector gives 7.3 m; World History Encyclopedia gives 9 m,S25;S12,Tier 3,Two popular/synthesis sources disagree by roughly 1.7 m on the same gun; neither gives a traceable primary citation in the text reviewed.
CL23,Largest Ottoman cannon - shot weight,500-550,kg,World History Encyclopedia gives 500 kg; TheCollector gives 550 kg,S12;S25,Tier 3,Close but not identical figures; kept as a range rather than resolved to one number.
CL24,Rumelihisari construction duration,4 to 4.5,months,Archnet/Limen Project give 'four months' or '15 April-31 August' (about 4.5 months); Castles.nl gives 'record time of 4.5 months',S17;S41,Tier 2/3,"Minor variation likely reflects whether the count starts from the order to build or from ground-breaking; both cluster tightly around 4-4.5 months, unlike the wider disagreements above."
